Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON,Iv
5.0,2023-09-15,put,META230915P00005000,0.01,0.0,0.01,0.0,0.0,10.0,6700.0,9.000004375,META,False,META,297.89,2023-09-08 20:00:01,2023-04-28 18:31:25,"{'contractSymbol': 'META230915P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 10, 'openInterest': 6700, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1682706685, 'impliedVolatility': 9.000004375, 'inTheMoney': False}",9.000004375
5.0,2023-10-20,put,META231020P00005000,0.01,0.0,0.01,0.0,0.0,4.0,105.0,3.6250009375000003,META,False,META,297.89,2023-09-08 20:00:01,2023-08-08 18:07:39,"{'contractSymbol': 'META231020P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 4, 'openInterest': 105, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1691518059, 'impliedVolatility': 3.6250009375000003, 'inTheMoney': False}",3.6250009375000003
5.0,2023-11-17,put,META231117P00005000,0.01,0.0,0.02,0.0,0.0,100.0,0.0,3.0000025,META,False,META,297.89,2023-09-08 20:00:01,2023-05-03 18:28:58,"{'contractSymbol': 'META231117P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 100, 'openInterest': 0, 'bid': 0.0, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1700179200, 'lastTradeDate': 1683138538, 'impliedVolatility': 3.0000025, 'inTheMoney': False}",3.0000025
5.0,2024-01-19,put,META240119P00005000,0.01,0.0,0.01,0.0,0.0,20.0,4075.0,2.0625048437499998,META,False,META,297.89,2023-09-08 20:00:01,2023-08-11 18:30:46,"{'contractSymbol': 'META240119P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 20, 'openInterest': 4075, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1691778646, 'impliedVolatility': 2.0625048437499998, 'inTheMoney': False}",2.0625048437499998
5.0,2024-03-15,put,META240315P00005000,0.01,0.0,0.01,0.0,0.0,150.0,262.0,1.71875140625,META,False,META,297.89,2023-09-08 20:00:01,2023-07-28 16:41:38,"{'contractSymbol': 'META240315P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 150, 'openInterest': 262, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1690562498, 'impliedVolatility': 1.71875140625, 'inTheMoney': False}",1.71875140625
5.0,2024-06-21,put,META240621P00005000,0.01,0.0,0.01,0.0,0.0,34.0,40324.0,1.3750031249999999,META,False,META,297.89,2023-09-08 20:00:01,2023-07-27 19:59:51,"{'contractSymbol': 'META240621P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 34, 'openInterest': 40324, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1690487991, 'impliedVolatility': 1.3750031249999999, 'inTheMoney': False}",1.3750031249999999
5.0,2025-01-17,put,META250117P00005000,0.02,0.0,0.01,0.0,0.0,73.0,3220.0,1.0625046875000002,META,False,META,297.89,2023-09-08 20:00:01,2023-08-30 16:52:06,"{'contractSymbol': 'META250117P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 73, 'openInterest': 3220, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1737072000, 'lastTradeDate': 1693414326, 'impliedVolatility': 1.0625046875000002, 'inTheMoney': False}",1.0625046875000002
5.0,2025-06-20,put,META250620P00005000,0.03,0.01,0.03,0.01,50.0,30.0,113.0,1.0390673046875003,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 18:36:49,"{'contractSymbol': 'META250620P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.01, 'percentChange': 50.0, 'volume': 30, 'openInterest': 113, 'bid': 0.01, 'ask': 0.03, 'contractSize': 'REGULAR', 'expiration': 1750377600, 'lastTradeDate': 1694198209, 'impliedVolatility': 1.0390673046875003, 'inTheMoney': False}",1.0390673046875003
5.0,2025-12-19,put,META251219P00005000,0.03,0.02,0.03,0.0,0.0,55.0,228.0,0.937500625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 18:37:47,"{'contractSymbol': 'META251219P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 55, 'openInterest': 228, 'bid': 0.02, 'ask': 0.03, 'contractSize': 'REGULAR', 'expiration': 1766102400, 'lastTradeDate': 1694198267, 'impliedVolatility': 0.937500625, 'inTheMoney': False}",0.937500625
10.0,2023-09-15,put,META230915P00010000,0.01,0.0,0.01,0.0,0.0,6.0,234.0,7.2500009375,META,False,META,297.89,2023-09-08 20:00:01,2023-08-15 16:56:20,"{'contractSymbol': 'META230915P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 6, 'openInterest': 234, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1692118580, 'impliedVolatility': 7.2500009375, 'inTheMoney': False}",7.2500009375
