Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
491.0,2023-12-15,put,SPY231215P00491000,47.15,45.74,46.67,0.0,0.0,6.0,19.0,0.13501841552734378,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-07 18:20:16,"{'contractSymbol': 'SPY231215P00491000', 'strike': 491.0, 'currency': 'USD', 'lastPrice': 47.15, 'change': 0.0, 'percentChange': 0.0, 'volume': 6, 'openInterest': 19, 'bid': 45.74, 'ask': 46.67, 'contractSize': 'REGULAR', 'expiration': 1702598400, 'lastTradeDate': 1694110816, 'impliedVolatility': 0.13501841552734378, 'inTheMoney': True}"
492.0,2023-09-11,put,SPY230911P00492000,44.45,45.61,46.64,0.0,0.0,2.0,0.0,0.649417568359375,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-06 13:38:05,"{'contractSymbol': 'SPY230911P00492000', 'strike': 492.0, 'currency': 'USD', 'lastPrice': 44.45, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 0, 'bid': 45.61, 'ask': 46.64, 'contractSize': 'REGULAR', 'expiration': 1694390400, 'lastTradeDate': 1694007485, 'impliedVolatility': 0.649417568359375, 'inTheMoney': True}"
492.0,2023-09-15,put,SPY230915P00492000,41.0,40.96,42.17,0.0,0.0,,0.0,1.0000000000000003e-05,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-02 15:42:22,"{'contractSymbol': 'SPY230915P00492000', 'strike': 492.0, 'currency': 'USD', 'lastPrice': 41.0, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'bid': 40.96, 'ask': 42.17, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1690990942, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
492.0,2023-12-15,put,SPY231215P00492000,47.08,46.74,47.67,0.0,0.0,,2.0,0.13709359008789065,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-29 14:09:52,"{'contractSymbol': 'SPY231215P00492000', 'strike': 492.0, 'currency': 'USD', 'lastPrice': 47.08, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 2, 'bid': 46.74, 'ask': 47.67, 'contractSize': 'REGULAR', 'expiration': 1702598400, 'lastTradeDate': 1693318192, 'impliedVolatility': 0.13709359008789065, 'inTheMoney': True}"
494.0,2023-09-15,put,SPY230915P00494000,44.84,48.72,49.67,0.0,0.0,1.0,2.0,0.5053760400390624,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-05 14:21:38,"{'contractSymbol': 'SPY230915P00494000', 'strike': 494.0, 'currency': 'USD', 'lastPrice': 44.84, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 2, 'bid': 48.72, 'ask': 49.67, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1693923698, 'impliedVolatility': 0.5053760400390624, 'inTheMoney': True}"
494.0,2023-09-29,put,SPY230929P00494000,45.05,48.33,49.15,0.0,0.0,,0.0,0.2732006274414062,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-07 14:55:28,"{'contractSymbol': 'SPY230929P00494000', 'strike': 494.0, 'currency': 'USD', 'lastPrice': 45.05, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'bid': 48.33, 'ask': 49.15, 'contractSize': 'REGULAR', 'expiration': 1695945600, 'lastTradeDate': 1691420128, 'impliedVolatility': 0.2732006274414062, 'inTheMoney': True}"
495.0,2023-09-15,put,SPY230915P00495000,49.5,49.72,50.67,0.0,0.0,3.0,0.0,0.5129443237304687,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-09 19:56:03,"{'contractSymbol': 'SPY230915P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 49.5, 'change': 0.0, 'percentChange': 0.0, 'volume': 3, 'openInterest': 0, 'bid': 49.72, 'ask': 50.67, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1691610963, 'impliedVolatility': 0.5129443237304687, 'inTheMoney': True}"
495.0,2023-09-29,put,SPY230929P00495000,43.45,49.73,50.67,0.0,0.0,1.0,0.0,0.3150703259277343,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-31 18:27:22,"{'contractSymbol': 'SPY230929P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 43.45, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 0, 'bid': 49.73, 'ask': 50.67, 'contractSize': 'REGULAR', 'expiration': 1695945600, 'lastTradeDate': 1693506442, 'impliedVolatility': 0.3150703259277343, 'inTheMoney': True}"
495.0,2023-10-20,put,SPY231020P00495000,58.78,49.73,50.55,0.0,0.0,1.0,1.0,0.21472953247070312,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-17 19:14:54,"{'contractSymbol': 'SPY231020P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 58.78, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 49.73, 'ask': 50.55, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1692299694, 'impliedVolatility': 0.21472953247070312, 'inTheMoney': True}"
495.0,2023-11-17,put,SPY231117P00495000,56.13,49.8,50.59,0.0,0.0,4.0,3.0,0.16706155212402346,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-24 18:41:48,"{'contractSymbol': 'SPY231117P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 56.13, 'change': 0.0, 'percentChange': 0.0, 'volume': 4, 'openInterest': 3, 'bid': 49.8, 'ask': 50.59, 'contractSize': 'REGULAR', 'expiration': 1700179200, 'lastTradeDate': 1692902508, 'impliedVolatility': 0.16706155212402346, 'inTheMoney': True}"
