Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON,Iv
195.0,2023-09-15,put,META230915P00195000,0.01,0.0,0.01,-0.01,-50.0,32.0,3800.0,0.937500625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 15:09:45,"{'contractSymbol': 'META230915P00195000', 'strike': 195.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': -0.01, 'percentChange': -50.0, 'volume': 32, 'openInterest': 3800, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694185785, 'impliedVolatility': 0.937500625, 'inTheMoney': False}",0.937500625
200.0,2023-09-15,put,META230915P00200000,0.01,0.0,0.01,-0.01,-50.0,36.0,3843.0,0.8906260937499999,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:55:56,"{'contractSymbol': 'META230915P00200000', 'strike': 200.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': -0.01, 'percentChange': -50.0, 'volume': 36, 'openInterest': 3843, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202956, 'impliedVolatility': 0.8906260937499999, 'inTheMoney': False}",0.8906260937499999
205.0,2023-09-15,put,META230915P00205000,0.02,0.01,0.02,0.01,100.0,3.0,1453.0,0.92187578125,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 17:52:44,"{'contractSymbol': 'META230915P00205000', 'strike': 205.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.01, 'percentChange': 100.0, 'volume': 3, 'openInterest': 1453, 'bid': 0.01, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694195564, 'impliedVolatility': 0.92187578125, 'inTheMoney': False}",0.92187578125
210.0,2023-09-15,put,META230915P00210000,0.02,0.01,0.02,0.0,0.0,48.0,2883.0,0.85937640625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 16:30:24,"{'contractSymbol': 'META230915P00210000', 'strike': 210.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 48, 'openInterest': 2883, 'bid': 0.01, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694190624, 'impliedVolatility': 0.85937640625, 'inTheMoney': False}",0.85937640625
215.0,2023-09-15,put,META230915P00215000,0.02,0.01,1.0,0.0,0.0,127.0,5014.0,1.2509803076171875,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 14:48:04,"{'contractSymbol': 'META230915P00215000', 'strike': 215.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 127, 'openInterest': 5014, 'bid': 0.01, 'ask': 1.0, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694184484, 'impliedVolatility': 1.2509803076171875, 'inTheMoney': False}",1.2509803076171875
220.0,2023-09-15,put,META230915P00220000,0.03,0.01,0.04,-0.01,-25.0,50.0,4727.0,0.79687703125,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:44:58,"{'contractSymbol': 'META230915P00220000', 'strike': 220.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': -0.01, 'percentChange': -25.0, 'volume': 50, 'openInterest': 4727, 'bid': 0.01, 'ask': 0.04, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202298, 'impliedVolatility': 0.79687703125, 'inTheMoney': False}",0.79687703125
225.0,2023-09-15,put,META230915P00225000,0.03,0.0,0.11,-0.03,-50.0,969.0,2362.0,0.804689453125,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:54:29,"{'contractSymbol': 'META230915P00225000', 'strike': 225.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': -0.03, 'percentChange': -50.0, 'volume': 969, 'openInterest': 2362, 'bid': 0.0, 'ask': 0.11, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202869, 'impliedVolatility': 0.804689453125, 'inTheMoney': False}",0.804689453125
230.0,2023-09-15,put,META230915P00230000,0.03,0.02,0.04,-0.01,-25.0,918.0,7074.0,0.6992217578125001,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:46:37,"{'contractSymbol': 'META230915P00230000', 'strike': 230.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': -0.01, 'percentChange': -25.0, 'volume': 918, 'openInterest': 7074, 'bid': 0.02, 'ask': 0.04, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202397, 'impliedVolatility': 0.6992217578125001, 'inTheMoney': False}",0.6992217578125001
235.0,2023-09-15,put,META230915P00235000,0.05,0.04,0.06,0.0,0.0,112.0,3131.0,0.6835969140625001,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:09:05,"{'contractSymbol': 'META230915P00235000', 'strike': 235.0, 'currency': 'USD', 'lastPrice': 0.05, 'change': 0.0, 'percentChange': 0.0, 'volume': 112, 'openInterest': 3131, 'bid': 0.04, 'ask': 0.06, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694200145, 'impliedVolatility': 0.6835969140625001, 'inTheMoney': False}",0.6835969140625001
240.0,2023-09-15,put,META230915P00240000,0.05,0.03,0.06,-0.02,-28.571426,220.0,6748.0,0.6210975390625001,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:37:17,"{'contractSymbol': 'META230915P00240000', 'strike': 240.0, 'currency': 'USD', 'lastPrice': 0.05, 'change': -0.02, 'percentChange': -28.571426, 'volume': 220, 'openInterest': 6748, 'bid': 0.03, 'ask': 0.06, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694201837, 'impliedVolatility': 0.6210975390625001, 'inTheMoney': False}",0.6210975390625001
245.0,2023-09-15,put,META230915P00245000,0.07,0.05,0.08,0.0,0.0,799.0,4181.0,0.5937540625000001,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:57:59,"{'contractSymbol': 'META230915P00245000', 'strike': 245.0, 'currency': 'USD', 'lastPrice': 0.07, 'change': 0.0, 'percentChange': 0.0, 'volume': 799, 'openInterest': 4181, 'bid': 0.05, 'ask': 0.08, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203079, 'impliedVolatility': 0.5937540625000001, 'inTheMoney': False}",0.5937540625000001
250.0,2023-09-15,put,META230915P00250000,0.07,0.07,0.1,-0.04,-36.363636,720.0,10305.0,0.5585981640625001,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:57:23,"{'contractSymbol': 'META230915P00250000', 'strike': 250.0, 'currency': 'USD', 'lastPrice': 0.07, 'change': -0.04, 'percentChange': -36.363636, 'volume': 720, 'openInterest': 10305, 'bid': 0.07, 'ask': 0.1, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203043, 'impliedVolatility': 0.5585981640625001, 'inTheMoney': False}",0.5585981640625001
252.5,2023-09-15,put,META230915P00252500,0.09,0.07,0.1,-0.019999996,-18.181814,610.0,865.0,0.5302781347656251,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:47:18,"{'contractSymbol': 'META230915P00252500', 'strike': 252.5, 'currency': 'USD', 'lastPrice': 0.09, 'change': -0.019999996, 'percentChange': -18.181814, 'volume': 610, 'openInterest': 865, 'bid': 0.07, 'ask': 0.1, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202438, 'impliedVolatility': 0.5302781347656251, 'inTheMoney': False}",0.5302781347656251
255.0,2023-09-15,put,META230915P00255000,0.11,0.07,0.11,-0.019999996,-15.384613,180.0,4932.0,0.50586431640625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:47:31,"{'contractSymbol': 'META230915P00255000', 'strike': 255.0, 'currency': 'USD', 'lastPrice': 0.11, 'change': -0.019999996, 'percentChange': -15.384613, 'volume': 180, 'openInterest': 4932, 'bid': 0.07, 'ask': 0.11, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202451, 'impliedVolatility': 0.50586431640625, 'inTheMoney': False}",0.50586431640625
257.5,2023-09-15,put,META230915P00257500,0.11,0.09,0.12,-0.030000001,-21.428572,257.0,1200.0,0.49805189453125004,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:54:29,"{'contractSymbol': 'META230915P00257500', 'strike': 257.5, 'currency': 'USD', 'lastPrice': 0.11, 'change': -0.030000001, 'percentChange': -21.428572, 'volume': 257, 'openInterest': 1200, 'bid': 0.09, 'ask': 0.12, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202869, 'impliedVolatility': 0.49805189453125004, 'inTheMoney': False}",0.49805189453125004
260.0,2023-09-15,put,META230915P00260000,0.12,0.12,0.14,-0.050000004,-29.411766,548.0,11588.0,0.4804739453125,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:56:43,"{'contractSymbol': 'META230915P00260000', 'strike': 260.0, 'currency': 'USD', 'lastPrice': 0.12, 'change': -0.050000004, 'percentChange': -29.411766, 'volume': 548, 'openInterest': 11588, 'bid': 0.12, 'ask': 0.14, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203003, 'impliedVolatility': 0.4804739453125, 'inTheMoney': False}",0.4804739453125
262.5,2023-09-15,put,META230915P00262500,0.13,0.11,0.15,-0.07000001,-35.000004,371.0,744.0,0.45703667968750006,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:59:01,"{'contractSymbol': 'META230915P00262500', 'strike': 262.5, 'currency': 'USD', 'lastPrice': 0.13, 'change': -0.07000001, 'percentChange': -35.000004, 'volume': 371, 'openInterest': 744, 'bid': 0.11, 'ask': 0.15, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203141, 'impliedVolatility': 0.45703667968750006, 'inTheMoney': False}",0.45703667968750006
265.0,2023-09-15,put,META230915P00265000,0.21,0.13,0.18,-0.030000001,-12.500002,517.0,4407.0,0.44043528320312497,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:59:57,"{'contractSymbol': 'META230915P00265000', 'strike': 265.0, 'currency': 'USD', 'lastPrice': 0.21, 'change': -0.030000001, 'percentChange': -12.500002, 'volume': 517, 'openInterest': 4407, 'bid': 0.13, 'ask': 0.18, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203197, 'impliedVolatility': 0.44043528320312497, 'inTheMoney': False}",0.44043528320312497
267.5,2023-09-15,put,META230915P00267500,0.2,0.16,0.21,-0.059999987,-23.07692,308.0,681.0,0.42139250488281255,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:54:29,"{'contractSymbol': 'META230915P00267500', 'strike': 267.5, 'currency': 'USD', 'lastPrice': 0.2, 'change': -0.059999987, 'percentChange': -23.07692, 'volume': 308, 'openInterest': 681, 'bid': 0.16, 'ask': 0.21, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202869, 'impliedVolatility': 0.42139250488281255, 'inTheMoney': False}",0.42139250488281255
